"Titel";"år";"lokation";"datum"
"Dubai Fashion Week";"2027";"Dubai, United Arab Emirates";"1-6 Feb 2026 - expected"
"London Fashion Week";"2027";"London, United Kingdom";"2027 date TBC"
"Met Gala";"2027";"New York, United States, New York, USA";"3 May 2027"
"Milan Fashion Week";"2027";"Milan, Italy";"2027 date TBC"
"New York Fashion Week";"2027";"New York, United States";"2027 date TBC"
"Paris Fashion Week";"2027";"Paris, France";"20 Jan - 6 Oct 2026 - expected season"
"Seoul Fashion Week";"2027";"Seoul, South Korea";"1-5 Feb 2026 - expected"
"Shanghai Fashion Week";"2027";"Shanghai, China";"25 Mar - 2 Apr 2026 - expected"
"Tokyo Fashion Week";"2027";"Tokyo, Japan";"16-21 Mar 2026 - expected"
"Berlin International Film Festival";"2027";"Berlin, Germany";"2027 date TBC"
"Busan International Film Festival";"2026";"Seoul, South Korea";"16-25 Sep 2026 - expected"
"Cairo International Film Festival";"2026";"Egypt, TBC";"4 Nov 2026 - 20 Nov 2026"
"Cannes Film Festival";"2026";"Cannes, France, Cannes, France";"12 May - 23 May 2026"
"Locarno Film Festival";"2027";"Basel, Switzerland";"2027 date TBC"
"Marrakech Film Festival";"2026";"Morocco, TBC";"21 Nov 2026 - 5 Dec 2026"
"Sundance Film Festival";"2027";"Los Angeles, United States";"2027 date TBC"
"Toronto International Film Festival";"2026";"Toronto, Canada";"10-20 Sep 2026 - expected"
"Tribeca Festival";"2027";"Los Angeles, United States";"3-14 Jun 2026 - expected"
"Venice Film Festival";"2026";"Venice, Italy";"26 Aug 2026 - 11 Sept 2026"
"Dubai Food Festival";"2027";"Dubai, United Arab Emirates";"24 Apr - 10 May 2026 - expected"
"La Tomatina";"2027";"Barcelona, Spain";"2027 date TBC"
"Melbourne Food and Wine Festival";"2027";"Sydney, Australia";"2027 date TBC"
"Oktoberfest Blumenau";"2026";"Blumenau, Brazil";"7 Oct 2026 - 25 Oct 2026"
"Oktoberfest";"2026";"Munich, Germany";"18 Sept 2026 - 3 Oct 2026"
"Pizzafest Naples";"2026";"Pozzuoli / Naples, Italy, Lungomare Pertini, Pozzuoli";"7-12 Jul 2026"
"Salon du Chocolat Paris";"2026";"Paris, France";"28 Oct - 1 Nov 2026 - expected"
"San Sebastian Gastronomika";"2026";"Barcelona, Spain";"5-7 Oct 2026 - expected"
"Singapore Food Festival";"2026";"Shanghai, China";"1-31 Oct 2026 - expected"
"Taste of Chicago";"2026";"Los Angeles, United States";"11-13 Sep 2026 - expected"
"Brasil Game Show";"2026";"Sao Paulo, Brazil";"8-12 Oct 2026 - expected"
"ChinaJoy";"2026";"Shanghai, China";"31 Jul - 3 Aug 2026 - expected"
"DreamHack Dallas";"2027";"Los Angeles, United States";"2027 date TBC"
"EGX London";"2026";"London, United Kingdom";"1-4 Oct 2026 - expected"
"Gamescom";"2026";"Cologne, Germany";"25 Aug 2026 - 29 Aug 2026"
"Paris Games Week";"2027";"Paris, France";"2027 date TBC"
"PAX East";"2027";"Los Angeles, United States";"2027 date TBC"
"PAX West";"2027";"Los Angeles, United States";"2027 date TBC"
"The Game Awards";"2026";"Los Angeles, United States";"10 Dec 2026 - expected"
"Tokyo Game Show";"2027";"Tokyo, Japan";"2027 date TBC"
"Coachella";"2027";"Indio, United States";"11 Apr 2027 - 18 Apr 2027"
"Fuji Rock Festival";"2026";"Yuzawa, Japan, Naeba Ski Resort";"24-26 Jul 2026"
"Lollapalooza Chicago";"2026";"Chicago, United States, Grant Park";"30 Jul - 2 Aug 2026"
"Primavera Sound Barcelona";"2026";"Barcelona, Spain, Parc del Forum";"3-7 Jun 2026"
"Rock in Rio";"2026";"Rio de Janeiro, Brazil, Cidade do Rock";"4-7 and 11-13 Sep 2026"
"Roskilde Festival";"2026";"Roskilde, Denmark, Roskilde Festival site";"27 Jun - 4 Jul 2026"
"Sziget Festival Budapest";"2026";"Budapest, Hungary, Obudai-sziget";"11-15 Aug 2026"
"Tomorrowland";"2026";"Boom, Belgium, De Schorre, Boom";"17-19 and 24-26 July 2026"
"Ultra Music Festival";"2027";"Miami, United States";"26 Mar 2027 - 28 Mar 2027"
"White Sensation Amsterdam";"2026";"Amsterdam, Netherlands, Johan Cruijff ArenA historically; 2026 venue/date not confirmed";"Historically early July; no official 2026 date confirmed"
"Buenos Aires Tango Festival";"2026";"Buenos Aires, Argentina";"11 Aug 2026 - 29 Aug 2026"
"Lake of Stars Festival";"2026";"Lake Malawi, Malawi";"24 Sept 2026 - 26 Sept 2026"
"Mawazine Festival";"2026";"Paris, France";"19-27 Jun 2026 - expected"
"Montreux Jazz Festival";"2027";"Basel, Switzerland";"2027 date TBC"
"New Orleans Jazz and Heritage Festival";"2027";"Los Angeles, United States";"2027 date TBC"
"North Sea Jazz Festival";"2027";"Amsterdam, Netherlands";"2027 date TBC"
"Ã˜ya Festival";"2026";"Oslo, Norway";"11 Aug 2026 - 14 Aug 2026"
"Roskilde Festival";"2027";"Copenhagen, Denmark";"2027 date TBC"
"Sziget Festival";"2027";"Budapest, Hungary";"2027 date TBC"
"WOMADelaide";"2027";"Sydney, Australia";"2027 date TBC"
"Albania Independence Day";"2026";"Nationwide, Albania";"28 Nov 2026"
"Armenia Independence Day";"2026";"Nationwide, Armenia";"21 Sep 2026"
"Austria National Day";"2026";"Nationwide, Austria";"26 Oct 2026"
"Azerbaijan Republic Day";"2027";"Nationwide, Azerbaijan";"28 May 2027"
"Bastille Day";"2026";"Nationwide, France";"14 Jul 2026"
"Belarus Independence Day";"2026";"Nationwide, Belarus";"3 Jul 2026"
"Belgian National Day";"2026";"Nationwide, Belgium";"21 Jul 2026"
"Bosnia and Herzegovina Statehood Day";"2026";"Nationwide, Bosnia and Herzegovina";"25 Nov 2026"
"Brazil Independence Day";"2026";"Nationwide, Brazil";"7 Sep 2026"
"Bulgaria Liberation Day";"2027";"Nationwide, Bulgaria";"3 Mar 2027"
"Chair of Saint Peter";"2027";"Nationwide, Vatican City";"22 Feb 2027"
"Chile Fiestas Patrias";"2026";"Nationwide, Chile";"18 Sep 2026"
"Croatia Statehood Day";"2027";"Nationwide, Croatia";"30 May 2027"
"Cyprus Independence Day";"2026";"Nationwide, Cyprus";"1 Oct 2026"
"Czech Independent State Day";"2026";"Nationwide, Czechia";"28 Oct 2026"
"Day of German Unity";"2026";"Nationwide, Germany";"3 Oct 2026"
"Denmark Constitution Day";"2027";"Nationwide, Denmark";"5 Jun 2027"
"Estonia Independence Day";"2027";"Nationwide, Estonia";"24 Feb 2027"
"Festa della Repubblica";"2027";"Nationwide, Italy";"2 Jun 2027"
"Fiji Day";"2026";"Nationwide, Fiji";"10 Oct 2026"
"Finland Independence Day";"2026";"Nationwide, Finland";"6 Dec 2026"
"Georgia Independence Day";"2027";"Nationwide, Georgia";"26 May 2027"
"Great Union Day";"2026";"Nationwide, Romania";"1 Dec 2026"
"Greek Independence Day";"2027";"Nationwide, Greece";"25 Mar 2027"
"Iceland National Day";"2026";"Nationwide, Iceland";"17 Jun 2026"
"King's Day";"2027";"Nationwide, Netherlands";"27 Apr 2027"
"Kosovo Independence Day";"2027";"Nationwide, Kosovo";"17 Feb 2027"
"Latvia Independence Day";"2026";"Nationwide, Latvia";"18 Nov 2026"
"Liechtenstein National Day";"2026";"Nationwide, Liechtenstein";"15 Aug 2026"
"Lithuania Independence Day";"2027";"Nationwide, Lithuania";"16 Feb 2027"
"Luxembourg National Day";"2026";"Nationwide, Luxembourg";"23 Jun 2026"
"Malta Freedom Day";"2027";"Nationwide, Malta";"31 Mar 2027"
"Moldova Independence Day";"2026";"Nationwide, Moldova";"27 Aug 2026"
"Monaco National Day";"2026";"Nationwide, Monaco";"19 Nov 2026"
"Montenegro Statehood Day";"2026";"Nationwide, Montenegro";"13 Jul 2026"
"North Macedonia Independence Day";"2026";"Nationwide, North Macedonia";"8 Sep 2026"
"Norwegian Constitution Day";"2027";"Nationwide, Norway";"17 May 2027"
"Our Lady of Meritxell Day";"2026";"Nationwide, Andorra";"8 Sep 2026"
"Poland Independence Day";"2026";"Nationwide, Poland";"11 Nov 2026"
"Portugal Day";"2026";"Nationwide, Portugal";"10 Jun 2026"
"Republic Day of Turkey";"2026";"Nationwide, Turkey";"29 Oct 2026"
"Russia Day";"2026";"Nationwide, Russia";"12 Jun 2026"
"Saint Patrick's Day";"2027";"Nationwide, Ireland";"17 Mar 2027"
"Saint Stephen's Day";"2026";"Nationwide, Hungary";"20 Aug 2026"
"San Marino Foundation Day";"2026";"Nationwide, San Marino";"3 Sep 2026"
"Serbia Statehood Day";"2027";"Nationwide, Serbia";"15 Feb 2027"
"Slovakia Constitution Day";"2026";"Nationwide, Slovakia";"1 Sep 2026"
"Slovenia Statehood Day";"2026";"Nationwide, Slovenia";"25 Jun 2026"
"Spain National Day";"2026";"Nationwide, Spain";"12 Oct 2026"
"Sweden National Day";"2027";"Nationwide, Sweden";"6 Jun 2027"
"Swiss National Day";"2026";"Nationwide, Switzerland";"1 Aug 2026"
"Ukraine Independence Day";"2026";"Nationwide, Ukraine";"24 Aug 2026"
"Anime Expo";"2027";"Los Angeles, United States";"2027 date TBC"
"CCXP Sao Paulo";"2027";"Sao Paulo, Brazil";"2027 date TBC"
"Comic-Con International";"2026";"San Diego, USA";"22 Jul 2026 - 25 Jul 2026"
"D23 Expo";"2027";"Los Angeles, United States";"2027 date TBC"
"Dragon Con";"2027";"Los Angeles, United States";"2027 date TBC"
"Fan Expo Canada";"2026";"Toronto, Canada";"27-30 Aug 2026 - expected"
"Japan Expo Paris";"2027";"Paris, France";"2027 date TBC"
"Lucca Comics and Games";"2027";"Milan, Italy";"2027 date TBC"
"MCM Comic Con London";"2027";"London, United Kingdom";"2027 date TBC"
"New York Comic Con";"2027";"Los Angeles, United States";"2027 date TBC"
"Christmas Midnight Mass Vatican";"2027";"Milan, Italy";"2027 date TBC"
"Diwali";"2026";"India, TBC";"20 Oct 2026 - 8 Nov 2026"
"Easter in Jerusalem";"2027";"Milan, Italy";"2027 date TBC"
"Hajj";"2026";"Saudi Arabia, TBC";"17 Jun - 24 Jun 2026"
"Kumbh Mela";"2027";"Mumbai, India";"14 Jan - 26 Feb 2027 - expected"
"Obon Festival";"2027";"Tokyo, Japan";"2027 date TBC"
"Ramadan Nights Dubai";"2027";"Dubai, United Arab Emirates, Citywide Ramadan markets, iftars and cultural venues";"8 February - 8 March 2027"
"Semana Santa Seville";"2027";"Barcelona, Spain";"2027 date TBC"
"Thaipusam";"2027";"Batu Caves / Kuala Lumpur, Malaysia, Batu Caves and Tamil Hindu temples";"22 January 2027"
"Vesak Day";"2027";"Temples and community processions";"20 May 2027"
"CES";"2027";"Las Vegas, United States";"5 Jan 2027 - 8 Jan 2027"
"Dublin Tech Summit";"2027";"London, United Kingdom";"2027 date TBC"
"GITEX Global";"2026";"Dubai, United Arab Emirates, Dubai Exhibition Centre";"8-11 December 2026"
"London Tech Week";"2026";"London, United Kingdom, Olympia London";"8-10 June 2026"
"RISE Asia";"2027";"Shanghai, China";"2027 date TBC"
"Slush Helsinki";"2026";"Berlin, Germany, Helsinki";"18-19 November 2026"
"SXSW Interactive";"2027";"Los Angeles, United States, Austin";"13-21 March 2027"
"TechCrunch Disrupt";"2026";"Los Angeles, United States, Moscone West";"13-15 October 2026"
"VivaTech Paris";"2026";"Paris, France, Paris Expo Porte de Versailles";"17-20 June 2026"
"Web Summit Lisbon";"2026";"Barcelona, Spain, Lisbon";"9-12 November 2026"
"Chinese New Year";"2027";"Nationwide / Chinese communities, China, Homes, temples, streets and public squares";"6-20 February 2027"
"Day of the Dead";"2026";"Mexico, TBC";"1 Nov 2026 - 2 Nov 2026"
"Holi Festival";"2027";"India, Temples, streets and community events";"22-23 March 2027"
"Inti Raymi";"2026";"Peru, TBC";"24 Jun 2026"
"New Year's Eve Copacabana";"2026";"Brazil, TBC";"31 Dec 2026 - 1 Jan 2027"
"Seoul Lantern Festival";"2026";"South Korea, TBC";"7 Nov 2026 - 22 Nov 2026"
"Songkran Festival";"2027";"Shanghai, China";"2027 date TBC"
"Sydney New Year's Eve";"2026";"Australia, TBC";"31 Dec 2026 - 1 Jan 2027"
"Up Helly Aa";"2027";"London, United Kingdom";"2027 date TBC"
"Yi Peng & Loy Krathong";"2026";"Thailand, TBC";"20 Nov 2026 - 24 Nov 2026"
"Cherry Blossom Wildlife Season";"2027";"Tokyo, Japan";"20 Mar - 10 Apr 2026 - expected season"
"Galapagos Wildlife Season";"2027";"Los Angeles, United States";"1 Jun - 30 Nov 2026 - expected season"
"Great Barrier Reef Coral Spawning";"2026";"Sydney, Australia";"1 Nov - 15 Dec 2026 - expected season"
"Great Migration";"2026";"Maasai Mara, Kenya";"30 Jun 2026 - 30 Oct 2026"
"Hermanus Whale Festival";"2026";"Hermanus, South Africa";"24 Sept 2026 - 26 Sept 2026"
"Kwita Izina";"2026";"Volcanoes National Park, Rwanda";"4 Sept 2026"
"Masai Mara Calving Season";"2027";"Cape Town, South Africa";"1 Jan - 31 Mar 2026 - expected season"
"Monarch Butterfly Migration";"2026";"Mexico City, Mexico";"1 Oct 2026 - 31 Mar 2027 - expected season"
"Polar Bear Week Churchill";"2026";"Toronto, Canada";"25 Oct - 8 Nov 2026 - expected season"
"Sardine Run South Africa";"2027";"Cape Town, South Africa";"1 Jun - 31 Jul 2026 - expected season"
"Carnaval de Quebec Night Parade";"2027";"Toronto, Canada";"7-14 Feb 2026 - expected"
"Harbin Ice and Snow Festival";"2027";"Shanghai, China";"5 Jan - 28 Feb 2026 - expected"
"Ice Magic Lake Louise";"2027";"Toronto, Canada";"2027 date TBC"
"Jul i Vinterland";"2026";"Norway, TBC";"1 Dec 2026 - 24 Dec 2026"
"Kiruna Snow Festival";"2027";"Stockholm, Sweden";"21-25 Jan 2026 - expected"
"Quebec Winter Carnival";"2027";"Quebec City, Canada";"2027 date TBC"
"Queenstown Winter Festival";"2026";"New Zealand, TBC";"11 Jun - 21 Jun 2026"
"Sapporo Snow Festival";"2027";"Tokyo, Japan";"2027 date TBC"
"Tromso Northern Lights Festival";"2027";"Oslo, Norway";"2027 date TBC"
"White Turf St Moritz";"2027";"Basel, Switzerland";"2027 date TBC"
"Coachella";"2027";"Indio, United States, Empire Polo Club";"2027 date TBC"
"Festa Junina";"2026";"Caruaru, Campina Grande, Brazil, Major June festival hubs across Brazil";"1 Jun - 30 Jun 2026"
"Fuji Rock Festival";"2027";"Tokyo, Japan";"2027 date TBC"
"Glastonbury Festival";"2027";"Somerset, United Kingdom, Somerset, UK";"23 Jun - 27 Jun 2027"
"Lollapalooza Brazil";"2027";"Sao Paulo, Brazil";"2027 date TBC"
"Montreux Jazz Festival";"2027";"Basel, Switzerland";"2027 date TBC"
"Primavera Sound";"2027";"Barcelona, Spain";"2027 date TBC"
"Roskilde Festival";"2027";"Copenhagen, Denmark";"2027 date TBC"
"Salzburger Festspiele";"2026";"Salzburg, Austria, Salzburg venues";"17 Jul - 30 Aug 2026"
"Tomorrowland";"2026";"Boom, Belgium, De Schorre, Boom";"17-19 & 24-26 July 2026"
"Ultra Music Festival";"2027";"Miami, United States, Bayfront Park";"2027 date TBC"
"American Song Contest";"2027";"Los Angeles, United States";"2027 date TBC"
"Benidorm Fest";"2027";"Barcelona, Spain";"2027 date TBC"
"Eurovision Song Contest";"2027";"Host city pending, Bulgaria, Venue pending";"2027 date TBC"
"Festival da Cancao";"2027";"Barcelona, Spain";"21 Feb - 7 Mar 2026 - expected"
"Junior Eurovision Song Contest";"2026";"Paris, France";"6 Dec 2026 - expected"
"Melodifestivalen";"2027";"Stockholm, Sweden";"2027 date TBC"
"MGP Norway";"2027";"Oslo, Norway";"24 Jan - 28 Feb 2026 - expected"
"Sanremo Music Festival";"2027";"Sanremo, Italy, Teatro Ariston";"February 2027"
"The Voice Finale";"2027";"Los Angeles, United States";"2027 date TBC"
"Una Voce per San Marino";"2027";"Milan, Italy";"21 Feb 2026 - expected"
"Celtic Connections";"2027";"London, United Kingdom";"2027 date TBC"
"Essaouira Gnaoua Festival";"2026";"Paris, France";"25-28 Jun 2026 - expected"
"Fes Festival of World Sacred Music";"2026";"Morocco, TBC";"4-7 June 2026"
"Festival au Desert";"2027";"Paris, France";"2027 date TBC"
"GlobalFEST New York";"2027";"Los Angeles, United States";"2027 date TBC"
"Mawazine Rabat";"2026";"Paris, France";"19-27 Jun 2026 - expected"
"Rainforest World Music Festival";"2026";"Shanghai, China";"26-28 Jun 2026 - expected"
"Sauti za Busara";"2027";"Cape Town, South Africa";"2027 date TBC"
"Udaipur World Music Festival";"2027";"Mumbai, India";"13-15 Feb 2026 - expected"
"WOMAD Charlton Park";"2027";"London, United Kingdom";"2027 date TBC"
"Army Navy Game";"2027";"Philadelphia, United States, Lincoln Financial Field";"11 Dec 2027"
"College Football Playoff National Championship";"2027";"Las Vegas, United States, Allegiant Stadium";"25 Jan 2027"
"Cotton Bowl Classic";"2027";"Los Angeles, United States";"2027 date TBC"
"NFL Draft";"2027";"Washington, D.C., United States, National Mall";"2027 dates TBC"
"NFL Kickoff Game";"2026";"Los Angeles, United States";"10 Sep 2026 - expected"
"Orange Bowl";"2027";"Los Angeles, United States";"1 Jan 2027 - expected"
"Pro Bowl Games";"2027";"Los Angeles, United States";"2027 date TBC"
"Rose Bowl Game";"2027";"Pasadena, United States, Rose Bowl Stadium";"1 Jan 2027"
"Sugar Bowl";"2027";"New Orleans, United States, Caesars Superdome";"1 Jan 2027"
"Super Bowl";"2027";"Inglewood / Los Angeles, USA, SoFi Stadium";"14 Feb 2027"
"AFL Anzac Day";"2027";"Melbourne, Australia, Melbourne Cricket Ground";"25 April 2027"
"AFL Brownlow Medal";"2026";"Sydney, Australia";"21 Sep 2026 - expected"
"AFL Dreamtime at the G";"2027";"Sydney, Australia";"2027 date TBC"
"AFL Gather Round";"2027";"Sydney, Australia";"2027 date TBC"
"AFL Grand Final";"2026";"Melbourne, Australia";"25 Sept 2026"
"AFL International Rules Series";"2027";"Sydney, Australia";"2027 date TBC"
"AFL Opening Round";"2027";"Sydney, Australia";"5-8 Mar 2027 - expected"
"AFL Preliminary Finals";"2026";"Sydney, Australia";"18-19 Sep 2026 - expected"
"AFL Queen Birthday Clash";"2026";"Sydney, Australia";"8 Jun 2026 - expected"
"AFLW Grand Final";"2026";"Sydney, Australia";"28-29 Nov 2026 - expected"
"Caribbean Series";"2027";"Mexico City, Mexico";"30 Jan - 6 Feb 2027 - expected"
"College World Series";"2026";"Omaha, United States, Charles Schwab Field Omaha";"12-22 Jun 2026 - expected"
"Home Run Derby";"2026";"Los Angeles, United States";"13 Jul 2026 - expected"
"Japan Series";"2026";"Tokyo, Japan";"24 Oct - 1 Nov 2026 - expected"
"Korean Series";"2026";"Seoul, South Korea";"24 Oct - 1 Nov 2026 - expected"
"Little League World Series";"2026";"Williamsport, United States, Howard J. Lamade Stadium and Volunteer Stadium";"19-30 Aug 2026 - expected"
"MLB All-Star Game";"2027";"Chicago, United States, Wrigley Field";"13 Jul 2027"
"Opening Day MLB";"2027";"Los Angeles, United States";"2027 date TBC"
"World Baseball Classic";"2027";"Los Angeles, United States";"2027 date TBC"
"World Series";"2026";"USA / Canada, United States";"23 Oct 2026 - 1 Nov 2026"
"Basketball Africa League Finals";"2026";"Cape Town, South Africa";"10-14 Jun 2026 - expected"
"EuroLeague Final Four";"2027";"Berlin, Germany";"2027 date TBC"
"FIBA Women's Basketball World Cup";"2026";"Berlin, Germany, Berlin Arena / Max-Schmeling-Halle";"4-13 Sep 2026"
"NBA All-Star Game";"2027";"Los Angeles, United States";"2027 date TBC"
"NBA Draft";"2026";"Los Angeles, United States";"24-25 Jun 2026 - expected"
"NBA Finals";"2026";"TBC, United States, Finalists home arenas, TBC";"3 Jun - 19 Jun 2026"
"NBA In-Season Tournament Final";"2027";"Los Angeles, United States";"2027 date TBC"
"NCAA Final Four";"2027";"Los Angeles, United States";"2027 date TBC"
"NCAA March Madness Selection Sunday";"2027";"Los Angeles, United States";"2027 date TBC"
"WNBA Finals";"2026";"Los Angeles, United States";"2-16 Oct 2026 - expected"
"Asia Cup Cricket Final";"2027";"Mumbai, India";"2027 date TBC"
"Big Bash League Final";"2027";"Sydney, Australia";"25 Jan 2027 - expected"
"Cricket World Cup";"2027";"Southern Africa, South Africa, Zimbabwe, Namibia";"1 Oct 2027 - 30 Nov 2027"
"ICC Champions Trophy";"2027";"Mumbai, India";"2027 date TBC"
"ICC T20 World Cup";"2026";"India / Sri Lanka, India";"1 Feb 2026 - 28 Feb 2026"
"Indian Premier League Final";"2026";"India, Ahmedabad";"31 May 2026"
"IPL Final";"2027";"Host city TBC, India";"30 May 2027 - expected"
"Pakistan Super League Final";"2027";"Dubai, United Arab Emirates";"2027 date TBC"
"The Ashes";"2027";"London, United Kingdom";"1 Nov 2027 - 31 Jan 2028 - expected"
"The Hundred Final";"2026";"London, United Kingdom, Lord's";"30 Aug 2026 - expected"
"Women Cricket World Cup Final";"2027";"Mumbai, India";"2027 date TBC"
"Amstel Gold Race";"2027";"Amsterdam, Netherlands";"2027 date TBC"
"Giro d Italia";"2027";"Milan, Italy";"2027 date TBC"
"Liege Bastogne Liege";"2027";"Brussels, Belgium";"2027 date TBC"
"Milan San Remo";"2027";"Milan, Italy";"2027 date TBC"
"Paris Roubaix";"2027";"Roubaix, France, Roubaix Velodrome";"2027 date TBC"
"Strade Bianche";"2027";"Milan, Italy";"2027 date TBC"
"Tour de France";"2026";"France, TBC";"27 Jun - 26 Jul 2026"
"Tour of Flanders";"2027";"Brussels, Belgium";"2027 date TBC"
"UCI Road World Championships";"2027";"Toronto, Canada";"2027 date TBC"
"Vuelta a Espana";"2027";"Barcelona, Spain";"2027 date TBC"
"AFC Asian Cup";"2027";"Saudi Arabia";"7 Jan 2027 - 5 Feb 2027"
"Africa Cup of Nations";"2027";"Kenya, Kenya, Tanzania and Uganda";"1 Jun - 31 Jul 2027"
"Champions League Final";"2026";"Germany, TBC";"30 May 2026"
"Copa America";"2028";"TBC";"1 Jun 2028 - 30 Jun 2028"
"Copa Libertadores Final";"2026";"Argentina, TBC";"28 Nov 2026"
"FIFA Women’s World Cup";"2027";"Brazil";"24 Jun 2027 - 25 Jul 2027"
"FIFA World Cup";"2026";"Mexico City, Toronto, New York region, Canada, Mexico, United States, 16 host-city stadiums";"11 Jun - 19 Jul 2026"
"UEFA Conference League Final";"2027";"Istanbul, Turkey, Besiktas Stadium";"2 Jun 2027"
"UEFA Europa League Final";"2027";"Frankfurt, Germany, Waldstadion";"26 May 2027"
"UEFA European Championship";"2028";"United Kingdom / Ireland, United Kingdom, Ireland";"1 Jun 2028 - 30 Jun 2028"
"Abu Dhabi Grand Prix";"2026";"United Arab Emirates, TBC";"4 Dec 2026 - 6 Dec 2026"
"British Grand Prix";"2026";"Silverstone, United Kingdom";"2 Jul 2026 - 4 Jul 2026"
"Canadian Grand Prix";"2026";"Montreal, Canada, Circuit Gilles Villeneuve, Montreal";"22 May - 24 May 2026"
"Las Vegas Grand Prix";"2026";"United States, TBC";"19 Nov 2026 - 21 Nov 2026"
"Mexico City Grand Prix";"2026";"Mexico, TBC";"30 Oct 2026 - 1 Nov 2026"
"Monaco Grand Prix";"2026";"Monaco, TBC";"4 Jun - 7 Jun 2026"
"Qatar Grand Prix";"2026";"Qatar, TBC";"27 Nov 2026 - 29 Nov 2026"
"São Paulo Grand Prix";"2026";"Brazil, TBC";"6 Nov 2026 - 8 Nov 2026"
"Singapore Grand Prix";"2026";"Singapore, TBC";"9 Oct 2026 - 11 Oct 2026"
"United States Grand Prix";"2026";"United States, TBC";"23 Oct 2026 - 25 Oct 2026"
"3M Open";"2026";"Minnesota, United States, TBC";"Final day listed: July 26, 2026"
"AIG Women's Open";"2026";"England, United Kingdom, TBC";"Final day listed: August 2, 2026"
"Amundi Evian Championship";"2026";"France, TBC";"Final day listed: July 12, 2026"
"Aramco Championship";"2027";"Nevada, United States, TBC";"2-5 Apr 2027"
"Arnold Palmer Invitational";"2027";"Florida, United States, TBC";"5-8 Mar 2027"
"AT&T Pebble Beach Pro-Am";"2027";"California, United States, TBC";"12-15 Feb 2027"
"Bank of Utah Championship";"2026";"Utah, United States, TBC";"Final day listed: October 4, 2026"
"Baycurrent Classic";"2026";"Japan, TBC";"Final day listed: October 11, 2026"
"Biltmore Championship Asheville";"2026";"Asheville, North Carolina, United States, The Cliffs at Walnut Cove";"September 17-20, 2026"
"Blue Bay LPGA";"2027";"China, TBC";"5-8 Mar 2027"
"BMW Championship";"2026";"Missouri, United States, TBC";"Final day listed: August 23, 2026"
"BMW Ladies Championship";"2026";"South Korea, TBC";"Final day listed: October 25, 2026"
"Buick LPGA Shanghai";"2026";"China, TBC";"Final day listed: October 18, 2026"
