"Titel";"Land";"Stad";"Från";"Till"
"Ice Magic Lake Louise";"Canada";"Toronto";"TBC";"TBC"
"Invictus Games";"Canada";"Toronto";"TBC";"TBC"
"Kentucky Derby";"United States";"Louisville";"TBC";"TBC"
"Little League World Series";"United States";"Williamsport";"2026-08-19";"2026-08-30"
"Lollapalooza Chicago";"United States";"Chicago";"TBC";"TBC"
"Memorial Cup";"Canada";"Toronto";"TBC";"TBC"
"Miami Open Tennis";"United States";"Miami Gardens";"TBC";"TBC"
"MLB All-Star Game";"United States";"Chicago";"TBC";"TBC"
"Monarch Butterfly Migration";"Mexico";"expected season";"2026-10-01";"2027-03-31"
"NASCAR Championship Race";"United States";"Los Angeles";"2026-11-08";"2026-11-08"
"National Trails Day";"United States";"Los Angeles";"2026-06-06";"2026-06-07"
"NBA All-Star Game";"United States";"Los Angeles";"TBC";"TBC"
"NBA Draft";"United States";"Los Angeles";"2026-06-24";"2026-06-25"
"NBA In-Season Tournament Final";"United States";"Los Angeles";"TBC";"TBC"
"NCAA Final Four";"United States";"Los Angeles";"TBC";"TBC"
"NCAA March Madness Selection Sunday";"United States";"Los Angeles";"TBC";"TBC"
"New Orleans Jazz and Heritage Festival";"United States";"Los Angeles";"TBC";"TBC"
"New York City Marathon";"United States";"Los Angeles";"2026-11-01";"2026-11-01"
"NFL Draft";"United States";"Washington, D.C.";"TBC";"TBC"
"NFL Kickoff Game";"United States";"Los Angeles";"2026-09-10";"2026-09-10"
"NHL All-Star Weekend";"United States";"Los Angeles";"TBC";"TBC"
"Opening Day MLB";"United States";"Los Angeles";"TBC";"TBC"
"Orange Bowl";"United States";"Los Angeles";"2027-01-01";"2027-01-01"
"Pan American Games";"United States";"Los Angeles";"TBC";"TBC"
"PAX East";"United States";"Los Angeles";"TBC";"TBC"
"Peachtree Road Race";"United States";"Los Angeles";"TBC";"TBC"
"Polar Bear Week Churchill";"Canada";"expected season";"2026-10-25";"2026-11-08"
"Pro Bowl Games";"United States";"Los Angeles";"TBC";"TBC"
"Quebec Winter Carnival";"Canada";"Quebec City";"TBC";"TBC"
"Quebec Winter Carnival";"Canada";"Quebec City";"TBC";"TBC"
"Rose Bowl Game";"United States";"Pasadena";"TBC";"TBC"
"Sebring 12 Hours";"United States";"Sebring";"TBC";"TBC"
"Sugar Bowl";"United States";"New Orleans";"2027-01-01";"2027-01-01"
"Sundance Film Festival";"United States";"Los Angeles";"TBC";"TBC"
"SXSW Interactive";"United States";"Austin";"2027-03-13";"2027-03-22"
"Taste of Chicago";"United States";"Los Angeles";"2026-09-11";"2026-09-13"
"TechCrunch Disrupt";"United States";"San Francisco";"2026-10-13";"2026-10-16"
"The Game Awards";"United States";"Los Angeles";"2026-12-10";"2026-12-10"
"The Voice Finale";"United States";"Los Angeles";"TBC";"TBC"
"Tony Awards";"United States";"New York City";"TBC";"TBC"
"Toronto International Film Festival";"Canada";"Toronto";"2026-09-10";"2026-09-20"
"Tribeca Festival";"United States";"Los Angeles";"2027-06-03";"2027-06-14"
"Trinidad Carnival";"Trinidad and Tobago";"Port of Spain";"TBC";"TBC"
"UCI Road World Championships";"Canada";"Toronto";"TBC";"TBC"
"Ultra Music Festival";"United States";"Miami";"2027-03-26";"2027-03-28"
"Winter Classic";"United States";"Los Angeles";"TBC";"TBC"
"WNBA Finals";"United States";"Los Angeles";"2026-10-02";"2026-10-16"
"World Baseball Classic";"United States";"Los Angeles";"TBC";"TBC"
"World Junior Ice Hockey Championship";"Canada";"Toronto";"TBC";"TBC"
"CES";"United States";"Las Vegas";"2027-01-06";"2027-01-09"
"Indian Wells Masters";"United States";"Indian Wells";"2027-02-28";"2027-03-14"
"Grammy Awards 2027";"United States";"Los Angeles";"2027-02-01";"2027-02-28"
"Super Bowl LXI";"United States";"Inglewood";"2027-02-14";"2027-02-15"
"Canadian Sauna Culture Weekend 2027";"Canada";"Toronto";"2027-02-20";"2027-02-22"
"Ultra Music Festival 2027";"United States";"Miami";"2027-03-26";"2027-03-28"
"Academy Awards / Oscars 2027";"United States";"Los Angeles";"2027-03-28";"2027-03-07"
"Coachella 2027";"United States";"Indio";"2027-04-11";"2027-04-18"
"Boston Marathon 2027";"United States";"Boston";"2027-04-19";"2027-04-19"
"Met Gala";"United States";"New York";"2027-05-03";"2027-05-03"
"Indianapolis 500 2027";"United States";"Indianapolis";"2027-05-30";"2027-05-30"
"Google I/O";"United States";"Mountain View";"2027-05-12";"2027-05-12"
"Canadian Grand Prix 2027";"Canada";"Montreal";"2027-06-11";"2027-06-13"
"PGA Championship";"United States";"San Francisco";"2028-05-18";"2028-05-21"
"Summer Olympics 2028";"United States";"Los Angeles";"2028-07-14";"2028-07-30"
"Wildfire Community Preparedness Day";"United States";"Los Angeles";"TBC";"TBC"
"CES";"United States";"Las Vegas";"2027-01-05";"2027-01-08"
"Apple September Event";"United States";"USA";"TBC";"TBC"
"Sony Open in Hawaii";"United States";"Hawaii";"2026-01-15";"2026-01-18"
"The American Express";"United States";"California";"2026-01-22";"2026-01-25"
"Farmers Insurance Open";"United States";"California";"2026-01-29";"2026-02-01"
"Hilton Grand Vacations Tournament of Champions";"United States";"Florida";"2026-01-29";"2026-02-01"
"WM Phoenix Open";"United States";"Arizona";"2026-02-05";"2026-02-08"
"AT&T Pebble Beach Pro-Am";"United States";"California";"2026-02-12";"2026-02-15"
"Genesis Invitational";"United States";"California";"2026-02-19";"2026-02-22"
"Cognizant Classic";"United States";"Florida";"2026-02-26";"2026-03-01"
"Arnold Palmer Invitational";"United States";"Florida";"2026-03-05";"2026-03-08"
"Puerto Rico Open";"United States";"Puerto Rico";"2026-03-05";"2026-03-08"
"The Players Championship";"United States";"Florida";"2026-03-12";"2026-03-15"
"Fortinet Founders Cup";"United States";"California";"2026-03-19";"2026-03-22"
"Valspar Championship";"United States";"Florida";"2026-03-19";"2026-03-22"
"Ford Championship presented by Wild Horse Pass";"United States";"Arizona";"2026-03-26";"2026-03-29"
"Texas Children's Houston Open";"United States";"Texas";"2026-03-26";"2026-03-29"
"Aramco Championship";"United States";"Nevada";"2026-04-02";"2026-04-05"
"Valero Texas Open";"United States";"Texas";"2026-04-02";"2026-04-05"
"Masters Tournament";"United States";"Georgia";"2027-04-08";"2027-04-11"
"JM Eagle LA Championship presented by Plastpro";"United States";"California";"2026-04-16";"2026-04-19"
"LIV Golf Mexico City";"Mexico";"Mexico City";"2026-04-16";"2026-04-19"
"RBC Heritage";"United States";"South Carolina";"2026-04-16";"2026-04-19"
"The Chevron Championship";"United States";"Texas";"2026-04-23";"2026-04-26"
"Zurich Classic of New Orleans";"United States";"Louisiana";"2026-04-23";"2026-04-26"
"Cadillac Championship";"United States";"Florida";"2026-04-30";"2026-05-03"
"Mexico Riviera Maya Open at Mayakoba";"Mexico";"Mexico";"2026-04-30";"2026-05-03"
"LIV Golf Virginia";"United States";"Virginia";"2026-05-07";"2026-05-10"
"Mizuho Americas Open";"United States";"New Jersey";"2026-05-07";"2026-05-10"
"ONEflight Myrtle Beach Classic";"United States";"South Carolina";"2026-05-07";"2026-05-10"
"Truist Championship";"United States";"North Carolina";"2026-05-07";"2026-05-10"
"Kroger Queen City Championship presented by P&G";"United States";"Ohio";"2026-05-14";"2026-05-17"
"CJ Cup Byron Nelson";"United States";"Texas";"2026-05-21";"2026-05-24"
"Charles Schwab Challenge";"United States";"Texas";"2026-05-28";"2026-05-31"
"ShopRite LPGA powered by Wakefern";"United States";"New Jersey";"2026-05-28";"2026-05-31"
"Memorial Tournament";"United States";"Ohio";"2026-06-04";"2026-06-07"
"U.S. Women's Open presented by Ally";"United States";"California";"2026-06-04";"2026-06-07"
"Dow Championship";"United States";"Michigan";"2026-06-11";"2026-06-14"
"RBC Canadian Open";"Canada";"Canada";"2026-06-11";"2026-06-14"
"Meijer LPGA Classic for Simply Give";"United States";"Michigan";"2026-06-18";"2026-06-21"
"U.S. Open Golf";"United States";"New York";"2026-06-18";"2026-06-21"
"KPMG Women's PGA Championship";"United States";"Minnesota";"2026-06-25";"2026-06-28"
"LIV Golf Louisiana";"United States";"Louisiana";"2026-06-25";"2026-06-28"
"Travelers Championship";"United States";"Connecticut";"2026-06-25";"2026-06-28"
"John Deere Classic";"United States";"Illinois";"2026-07-02";"2026-07-05"
"ISCO Championship";"United States";"Kentucky";"2026-07-09";"2026-07-12"
"Corales Puntacana Championship";"Dominican Republic";"Dominican Republic";"2026-07-16";"2026-07-19"
"3M Open";"United States";"Minnesota";"2026-07-23";"2026-07-26"
"Rocket Classic";"United States";"Michigan";"2026-07-30";"2026-08-02"
"LIV Golf New York";"United States";"New Jersey";"2026-08-06";"2026-08-09"
"Wyndham Championship";"United States";"North Carolina";"2026-08-06";"2026-08-09"
"FedEx St. Jude Championship";"United States";"Tennessee";"2026-08-13";"2026-08-16"
"The Standard Portland Classic";"United States";"Oregon";"2026-08-13";"2026-08-16"
"BMW Championship";"United States";"Missouri";"2026-08-20";"2026-08-23"
"CPKC Women's Open";"Canada";"Canada";"2026-08-20";"2026-08-23"
"LIV Golf Indianapolis";"United States";"Indiana";"2026-08-20";"2026-08-23"
"FM Championship";"United States";"Massachusetts";"2026-08-27";"2026-08-30"
"LIV Team Championship Michigan";"United States";"Michigan";"2026-08-27";"2026-08-30"
"Tour Championship";"United States";"Georgia";"2026-08-27";"2026-08-30"
"Biltmore Championship Asheville";"United States";"North Carolina";"2026-09-17";"2026-09-20"
"Walmart NW Arkansas Championship presented by P&G";"United States";"Arkansas";"2026-09-24";"2026-09-27"
"Bank of Utah Championship";"United States";"Utah";"2026-10-01";"2026-10-04"
"LOTTE Championship presented by Hoakalei";"United States";"Hawaii";"2026-10-01";"2026-10-04"
"VidantaWorld Mexico Open";"Mexico";"Mexico";"2026-10-29";"2026-11-01"
"World Wide Technology Championship";"Mexico";"Mexico";"2026-11-05";"2026-11-08"
"Good Good Championship";"United States";"Texas";"2026-11-12";"2026-11-15"
"The ANNIKA driven by Gainbridge at Pelican";"United States";"Florida";"2026-11-12";"2026-11-15"
"CME Group Tour Championship";"United States";"Florida";"2026-11-19";"2026-11-22"
"RSM Classic";"United States";"Georgia";"2026-11-19";"2026-11-22"
